category,topic,Key term,Notes,term,column1
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers)  + sentiment",NA,(consumer|consumers|customer|customers)\s+(sentiment),
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers)  + optimis (optimistic, optimism)",NA,(consumer|consumers|customer|customers)\s+(optimistic|optimism),
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers)  + pessimis (pessimistic, pessimism)",NA,(consumer|consumers|customer|customers)\s+(pessimistic|pessimism),
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers) + mood",NA,(consumer|consumers|customer|customers)\s+(mood),
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers)  + resil (resilient, resilience)",NA,(consumer|consumers|customer|customers)\s+(resilient|resilience),
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers) + demand",NA,(consumer|consumers|customer|customers)\s+(demand),
Consumer sentiment,Consumer behavior shifts,"Consumer (consumer, consumers, customer, customers)+ behavior",NA,(consumer|consumers|customer|customers)\s+(behavior),
Consumer sentiment,Consumer behavior shifts,"Consumer (consumer, consumers, customer, customers) + spend (spend, spending, spent) + pattern (pattern, patterns)",NA,(consumer|consumers|customer|customers)\s+(spend|spending|spent)\s+(pattern|patterns),
Consumer sentiment,Consumer behavior shifts,"Consumer (consumer, consumers, customer, customers) + shift (shift, shifting)",NA,(consumer|consumers|customer|customers)\s+(shift|shifting),
Consumer sentiment,Consumer behavior shifts,trade down (trading down),NA,(trade\s+down|trading\s+down),
Consumer sentiment,Consumer behavior shifts,trade up (trading up),NA,(trade\s+up|trading\s+up),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers)  + Afford (afford, affordable, affordability)",NA,(consumer|consumers|customer|customers)\s+(afford|affordable|affordability),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers)  + Cautious (cautious, cautiously)",NA,(consumer|consumers|customer|customers)\s+(cautious|cautiously),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers)  + challeng (challenging, challenges, challenge)",NA,(consumer|consumers|customer|customers)\s+(challenging|challenges|challenge),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers)  + headwind (headwind, headwinds)",NA,(consumer|consumers|customer|customers)\s+(headwind|headwinds),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers)  + pressur (pressure, pressures)",NA,(consumer|consumers|customer|customers)\s+(pressure|pressures),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers) + strain (strain, strained)",NA,(consumer|consumers|customer|customers)\s+(strain|strained),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers) + concern (concern, concerns, concerned)",NA,(consumer|consumers|customer|customers)\s+(concern|concerns|concerned),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers) + anxiety (anxiety, anxious)",NA,(consumer|consumers|customer|customers)\s+(anxiety|anxious),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers) + hesitan (hesitant, hesitation)",NA,(consumer|consumers|customer|customers)\s+(hesitant|hesitation),
Consumer sentiment,Consumer pressure & challenges,"Consumer (consumer, consumers, customer, customers) + uncertain (uncertain, uncertainty)",NA,(consumer|consumers|customer|customers)\s+(uncertain|uncertainty),
AI,AI,AI,NA,AI,
AI,AI,automation,NA,automation,
AI,AI,artificial intelligence,NA,artificial\s+intelligence,
AI,Infrastructure & investment,"AI (AI, artificial intelligence) + infrastructur (infrastructure)",NA,(AI|artificial\s+intelligence)\s+(infrastructure),
AI,Infrastructure & investment,"AI (AI, artificial intelligence)  + invest (invest, investment, investing)",NA,(AI|artificial\s+intelligence)\s+(invest|investment|investing),
AI,Infrastructure & investment,"AI (AI, artificial intelligence)  + capex",NA,(AI|artificial\s+intelligence)\s+(capex),
AI,Infrastructure & investment,"AI (AI, artificial intelligence)  + capital expenditure",NA,(AI|artificial\s+intelligence)\s+(capital\s+expenditure),
AI,Infrastructure & investment,"AI (AI, artificial intelligence) + data center",NA,(AI|artificial\s+intelligence)\s+(data\s+center),
AI,Infrastructure & investment,"AI (AI, artificial intelligence) + server (server, servers)",NA,(AI|artificial\s+intelligence)\s+(server|servers),
AI,Infrastructure & investment,"AI (AI, artificial intelligence)  + chip (chip, chips)",NA,(AI|artificial\s+intelligence)\s+(chip|chips),
AI,Infrastructure & investment,"AI (AI, artificial intelligence) + compute (compute, computational)",NA,(AI|artificial\s+intelligence)\s+(compute|computational),
AI,Infrastructure & investment,"AI (AI, artificial intelligence)  + partner (partner, partnering, partnership)",NA,(AI|artificial\s+intelligence)\s+(partner|partnering|partnership),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + product (product, products)",NA,(AI|artificial\s+intelligence)\s+(product|products),
AI,"Products, features, deployment","AI (AI, artificial intelligence) + feature (feature, features)",NA,(AI|artificial\s+intelligence)\s+(feature|features),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + launch (launch, launched)",NA,(AI|artificial\s+intelligence)\s+(launch|launched),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + deploy (deploy, deployed, deployment)",NA,(AI|artificial\s+intelligence)\s+(deploy|deployed|deployment),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + integrat (integrate, integrated, integration)",NA,(AI|artificial\s+intelligence)\s+(integrate|integrated|integration),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + capabil (capability, capabilities)",NA,(AI|artificial\s+intelligence)\s+(capability|capabilities),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + solution (solution, solutions)",NA,(AI|artificial\s+intelligence)\s+(solution|solutions),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + rollout",NA,(AI|artificial\s+intelligence)\s+(rollout),
AI,"Products, features, deployment","AI (AI, artificial intelligence)  + release (release, released, releasing)",NA,(AI|artificial\s+intelligence)\s+(release|released|releasing),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + revenue",NA,(AI|artificial\s+intelligence)\s+(revenue),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + return (return, returns)",NA,(AI|artificial\s+intelligence)\s+(return|returns),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + roi",NA,(AI|artificial\s+intelligence)\s+(roi),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + profit (profit, profitability)",NA,(AI|artificial\s+intelligence)\s+(profit|profitability),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + monetiz (monetize, monetization)",NA,(AI|artificial\s+intelligence)\s+(monetize|monetization),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + revenue + generat (generate, generating)",NA,(AI|artificial\s+intelligence)\s+revenue\s+(generate|generating),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + bubble",NA,(AI|artificial\s+intelligence)\s+(bubble),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + hype",NA,(AI|artificial\s+intelligence)\s+(hype),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + overval (overvalued, overvaluation)",NA,(AI|artificial\s+intelligence)\s+(overvalued|overvaluation),
AI,ROI / skepticism,"AI (AI, artificial intelligence)  + skeptic (skeptical, skepticisim)",NA,(AI|artificial\s+intelligence)\s+(skeptical|skepticisim),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + efficien (efficiency)",NA,(AI|artificial\s+intelligence)\s+(efficiency),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + productiv (productivity)",NA,(AI|artificial\s+intelligence)\s+(productivity),
AI,Efficiency & workforce impact,"automat (automate, automated, automation)",NA,(automate|automated|automation),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + optim (optimize, optimization)",NA,(AI|artificial\s+intelligence)\s+(optimize|optimization),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + layoff (layoff, layoffs)",NA,(AI|artificial\s+intelligence)\s+(layoff|layoffs),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + workforce",NA,(AI|artificial\s+intelligence)\s+(workforce),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + workforce reduction",NA,(AI|artificial\s+intelligence)\s+(workforce\s+reduction),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + labor",NA,(AI|artificial\s+intelligence)\s+(labor),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + worker",NA,(AI|artificial\s+intelligence)\s+(worker),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + employee",NA,(AI|artificial\s+intelligence)\s+(employee),
AI,Efficiency & workforce impact,"AI (AI, artificial intelligence)  + upskill",NA,(AI|artificial\s+intelligence)\s+(upskill),
AI,Regulation,"AI (AI, artificial intelligence)  + regulat (regulation, regulatory)",NA,(AI|artificial\s+intelligence)\s+(regulation|regulatory),
AI,Regulation,"AI (AI, artificial intelligence)  + compliance",NA,(AI|artificial\s+intelligence)\s+(compliance),
AI,Regulation,"AI (AI, artificial intelligence)  + guardrail (guardrail, guardrails)",NA,(AI|artificial\s+intelligence)\s+(guardrail|guardrails),
AI,Regulation,"AI (AI, artificial intelligence)  + framework",NA,(AI|artificial\s+intelligence)\s+(framework),
AI,Regulation,"AI (AI, artificial intelligence)  + oversight",NA,(AI|artificial\s+intelligence)\s+(oversight),
AI,Regulation,"AI (AI, artificial intelligence)  + governance",NA,(AI|artificial\s+intelligence)\s+(governance),
AI,Regulation,"AI (AI, artificial intelligence)  + policy",NA,(AI|artificial\s+intelligence)\s+(policy),
AI,AI security & risks,"AI (AI, artificial intelligence)  + privacy",NA,(AI|artificial\s+intelligence)\s+(privacy),
AI,AI security & risks,"AI (AI, artificial intelligence) + risk",NA,(AI|artificial\s+intelligence)\s+(risk),
AI,AI security & risks,"AI (AI, artificial intelligence) + security",NA,(AI|artificial\s+intelligence)\s+(security),
AI,AI security & risks,"AI (AI, artificial intelligence) + cybersecurity",NA,(AI|artificial\s+intelligence)\s+(cybersecurity),
Labor,Workforce reductions & restructuring,"layoff (layoff, layoffs)",Exclude AI,(layoff|layoffs),
Labor,Workforce reductions & restructuring,"restructur (restructure, restructuring)",NA,(restructure|restructuring),
Labor,Workforce reductions & restructuring,"downsize (downsize, downsizing)",NA,(downsize|downsizing),
Labor,Workforce reductions & restructuring,attrition,NA,attrition,
Labor,Workforce reductions & restructuring,reduction + workforce,Exclude AI,reduction\s+workforce,
Labor,Workforce reductions & restructuring,reduction + headcount,Exclude AI,reduction\s+headcount,
Labor,Workforce reductions & restructuring,severance,NA,severance,
Labor,RTO & work models,"office + return (return, returning)",NA,office\s+(return|returning),
Labor,RTO & work models,RTO,NA,RTO,
Labor,RTO & work models,remote + work,NA,remote\s+work,
Labor,RTO & work models,hybrid + work,NA,hybrid\s+work,
Labor,RTO & work models,flexible + work,NA,flexible\s+work,
Labor,RTO & work models,home + work,NA,home\s+work,
Labor,Labor market & jobs,labor + market,NA,labor\s+market,
Labor,Labor market & jobs,job + market,NA,job\s+market,
Labor,Labor market & jobs,"turnover + employee (employee, employees)",NA,turnover\s+(employee|employees),
Labor,Labor market & jobs,"retention + employee (employee, employees)",NA,retention\s+(employee|employees),
Labor,Labor market & jobs,"labor + shortage (shortage, shortages)",NA,labor\s+(shortage|shortages),
Labor,Labor market & jobs,"job (job, jobs)",NA,(job|jobs),
Labor,Labor market & jobs,"employ (employment, employ)",NA,(employment|employ),
Labor,Labor market & jobs,labor + immigration,NA,labor\s+immigration,
Labor,Labor market & jobs,job + immigration,NA,job\s+immigration,
Regulatory pressures,Policy & legislation,"Policy (policy, policies) + federal",NA,(policy|policies)\s+(federal),
Regulatory pressures,Policy & legislation,"Policy (policy, policies) + state",NA,(policy|policies)\s+(state),
Regulatory pressures,Policy & legislation,washington,NA,washington,
Regulatory pressures,Policy & legislation,"legislation (legislation, legislative)",NA,(legislation|legislative),
Regulatory pressures,Policy & legislation,"congress (congress, congressional)",NA,(congress|congressional),
Regulatory pressures,Policy & legislation,senate,NA,senate,
Regulatory pressures,Policy & legislation,bipartisan,NA,bipartisan,
Regulatory pressures,Policy & legislation,"law (law, lawmaker, lawmakers)",NA,(law|lawmaker|lawmakers),
Regulatory pressures,Policy & legislation,government,NA,government,
Regulatory pressures,Regulatory environment,"regulat (regulation, regulatory)",NA,(regulation|regulatory),
Regulatory pressures,Regulatory environment,compliance,NA,compliance,
Regulatory pressures,Regulatory environment,"enforce (enforce, enforcement)",NA,(enforce|enforcement),
Regulatory pressures,Regulatory environment,oversight,NA,oversight,
Regulatory pressures,Regulatory environment,agency,NA,agency,
Regulatory pressures,Trump admin,Trump,"Exclude vice, senior, executive",Trump,
Regulatory pressures,Trump admin,White House,"Exclude vice, senior, executive",White\s+House,
Regulatory pressures,Trump admin,President,"Exclude vice, senior, executive",President,
Regulatory pressures,Trump admin,administration,"Exclude vice, senior, executive",administration,
Climate & sustainability,Emissions & carbon footprint,"emission (emission, emissions)",NA,(emission|emissions),
Climate & sustainability,Emissions & carbon footprint,carbon (carbon) + footprint,NA,carbon\s+footprint,
Climate & sustainability,Emissions & carbon footprint,"greenhouse gas (greenhouse gas, greenhouse gases)",NA,(greenhouse\s+gas|greenhouse\s+gases),
Climate & sustainability,Emissions & carbon footprint,"scope + emission (emission, emissions)",NA,scope\s+(emission|emissions),
Climate & sustainability,Emissions & carbon footprint,"decarboniz  (decarbonize, decarbonization)",NA,(decarbonize|decarbonization),
Climate & sustainability,Emissions & carbon footprint,co2,NA,co2,
Climate & sustainability,Emissions & carbon footprint,carbon dioxide,NA,carbon\s+dioxide,
Climate & sustainability,Sustainability programs & ESG,"sustainab (sustainability, sustainable)",NA,(sustainability|sustainable),
Climate & sustainability,Sustainability programs & ESG,ESG,NA,ESG,
Climate & sustainability,Sustainability programs & ESG,"environment (environment, environmental) + respons (responsible, responsibility)",NA,(environment|environmental)\s+(responsible|responsibility),
Climate & sustainability,Climate goals & targets,climate  + change,NA,climate\s+change,
Climate & sustainability,Climate goals & targets,"climate  + impact (impact, impacts)",NA,climate\s+(impact|impacts),
Climate & sustainability,Climate goals & targets,net zero,NA,net\s+zero,
Climate & sustainability,Climate goals & targets,"climate  + target (target, targets)",NA,climate\s+(target|targets),
Climate & sustainability,Climate goals & targets,"climate  + goal (goal, goals)",NA,climate\s+(goal|goals),
Climate & sustainability,Climate goals & targets,"climate  + commitment (commitment, commitments)",NA,climate\s+(commitment|commitments),
Climate & sustainability,Climate goals & targets,"climate  + pledge (pledge, pledges, pledging)",NA,climate\s+(pledge|pledges|pledging),
Climate & sustainability,Clean energy & renewables,"energy + renew (renew, renewables)",NA,energy\s+(renew|renewables),
Climate & sustainability,Clean energy & renewables,clean + energy,NA,clean\s+energy,
Climate & sustainability,Clean energy & renewables,solar + energy,NA,solar\s+energy,
Climate & sustainability,Clean energy & renewables,wind + energy,NA,wind\s+energy,
Climate & sustainability,Clean energy & renewables,hydro + power,NA,hydro\s+power,
Climate & sustainability,Clean energy & renewables,geothermal,NA,geothermal,
Climate & sustainability,AI energy impact,AI + energy,NA,AI\s+energy,
Climate & sustainability,AI energy impact,AI + power,NA,AI\s+power,
Climate & sustainability,AI energy impact,AI + cooling,NA,AI\s+cooling,
Climate & sustainability,AI energy impact,AI + footprint,NA,AI\s+footprint,
Climate & sustainability,AI energy impact,AI + emissions,NA,AI\s+emissions,
Climate & sustainability,AI energy impact,data center + energy,NA,data\s+center\s+energy,
MAHA,Healthcare regulation,FDA,NA,FDA,
MAHA,Healthcare regulation,food and drug,NA,food\s+and\s+drug,
MAHA,Healthcare regulation,"FDA + regulat (regulation, regulatory)",NA,FDA\s+(regulation|regulatory),
MAHA,Healthcare regulation,"FDA + approv (approve, approved, approval, approving)",NA,FDA\s+(approve|approved|approval|approving),
MAHA,Healthcare regulation,FDA + clearance,NA,FDA\s+(clearance),
MAHA,Healthcare regulation,medicare,NA,medicare,
MAHA,Healthcare regulation,medicaid,NA,medicaid,
MAHA,Vaccine policy,"vaccine (vaccine, vaccines, vaccinated, vaccination) + (FDA or HHS or policy or administration or federal or mandate)",NA,(vaccine|vaccines|vaccinated|vaccination)\s+(FDA|HHS|policy|administration|federal|mandate),
MAHA,Vaccine policy,"immuniz (immunize, immunization) + (FDA or HHS or policy or administration or federal or mandate)",NA,(immunize|immunization)\s+(FDA|HHS|policy|administration|federal|mandate),
MAHA,Vaccine policy,"inoculat (inoculate, inoculation) + (FDA or HHS or policy or administration or federal or mandate)",NA,(inoculate|inoculation)\s+(FDA|HHS|policy|administration|federal|mandate),
MAHA,Product reformulation & ingredients,"reformulat (reformulate, reformulated, reformulation, reformulating)",NA,(reformulate|reformulated|reformulation|reformulating),
MAHA,Product reformulation & ingredients,formula + product,NA,formula\s+product,
MAHA,Product reformulation & ingredients,"recip (recipe, recipes)",NA,(recipe|recipes),
MAHA,Product reformulation & ingredients,label + clean,NA,label\s+clean,
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) + change",NA,(ingredient|ingredients)\s+(change),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients)",NA,(ingredient|ingredients),
MAHA,Product reformulation & ingredients,"food + label  (label, labels, labeling, labelled)",NA,food\s+(label|labels|labeling|labelled),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) +  transparen (transparent, transparency)",NA,(ingredient|ingredients)\s+(transparent|transparency),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) + disclosur (disclose, disclosure, disclosing)",NA,(ingredient|ingredients)\s+(disclose|disclosure|disclosing),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) + clean",NA,(ingredient|ingredients)\s+(clean),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) + recogniz (recognizable)",NA,(ingredient|ingredients)\s+(recognizable),
MAHA,Product reformulation & ingredients,"ingredient (ingredient, ingredients) + simple",NA,(ingredient|ingredients)\s+(simple),
MAHA,Product reformulation & ingredients,seed oil,NA,seed\s+oil,
MAHA,Product reformulation & ingredients,"additive (additive, additives)",NA,(additive|additives),
MAHA,Product reformulation & ingredients,"food + dye (dye, dyes)",NA,food\s+(dye|dyes),
MAHA,Product reformulation & ingredients,artificial color,NA,artificial\s+color,
MAHA,Product reformulation & ingredients,ultra processed,NA,ultra\s+processed,
MAHA,Product reformulation & ingredients,"preservative (preservative, preservatives)",NA,(preservative|preservatives),
MAHA,Product reformulation & ingredients,high fructose,NA,high\s+fructose,
MAHA,SNAP & food assistance,snap,NA,snap,
MAHA,SNAP & food assistance,food + assistance,NA,food\s+assistance,
MAHA,SNAP & food assistance,supplemental nutrition,NA,supplemental\s+nutrition,
MAHA,SNAP & food assistance,"food + stamp (stamp, stamps)",NA,food\s+(stamp|stamps),
MAHA,SNAP & food assistance,ebt,NA,ebt,
MAHA,MAHA leadership & policy,kennedy,NA,kennedy,
MAHA,MAHA leadership & policy,rfk,NA,rfk,
MAHA,MAHA leadership & policy,hhs,NA,hhs,
MAHA,MAHA leadership & policy,health and human services,NA,health\s+and\s+human\s+services,
MAHA,MAHA leadership & policy,maha,NA,maha,
MAHA,MAHA leadership & policy,make america healthy again,NA,make\s+america\s+healthy\s+again,
MAHA,Drug pricing,"pharm (pharma, pharmaceuticals) + pric (price, prices, pricing)",NA,(pharma|pharmaceuticals)\s+(price|prices|pricing),
MAHA,Drug pricing,"prescription + pric (price, prices, pricing)",NA,prescription\s+(price|prices|pricing),
MAHA,Drug pricing,"pharmaceutical + pric (price, prices, pricing)",NA,pharmaceutical\s+(price|prices|pricing),
MAHA,Drug pricing,ira,NA,ira,
MAHA,Drug pricing,mfn,NA,mfn,
MAHA,Drug pricing,most favored nation,NA,most\s+favored\s+nation,
MAHA,Drug pricing,"drug (drug, drugs) + pric (price, prices, pricing)",NA,(drug|drugs)\s+(price|prices|pricing),
